grid_id,grid_lat,grid_lon,hour,day_of_week,complaint_count,high_congestion,is_weekend,is_rush_hour,month
40.71_-74.0,40.71,-74.0,18,6,8,0,1,1,1
40.71_-74.0,40.71,-74.0,19,0,1,0,0,0,1
40.71_-74.0,40.71,-74.0,19,1,16,1,0,0,1
40.71_-74.0,40.71,-74.0,19,2,6,0,0,0,1
40.71_-74.0,40.71,-74.0,19,3,12,0,0,0,1
40.71_-74.0,40.71,-74.0,19,4,2,0,0,0,1
40.71_-74.0,40.71,-74.0,19,5,9,0,1,0,1
40.71_-74.0,40.71,-74.0,19,6,5,0,1,0,1
40.71_-74.0,40.71,-74.0,20,0,2,0,0,0,1
40.71_-74.0,40.71,-74.0,20,1,12,0,0,0,1
40.71_-74.0,40.71,-74.0,20,2,6,0,0,0,1
40.71_-74.0,40.71,-74.0,20,3,3,0,0,0,1
40.71_-74.0,40.71,-74.0,20,4,6,0,0,0,1
40.71_-74.0,40.71,-74.0,20,5,5,0,1,0,1
40.71_-74.0,40.71,-74.0,20,6,1,0,1,0,1
40.71_-74.0,40.71,-74.0,21,0,3,0,0,0,1
40.71_-74.0,40.71,-74.0,21,1,1,0,0,0,1
40.71_-74.0,40.71,-74.0,21,2,4,0,0,0,1
40.71_-74.0,40.71,-74.0,21,4,4,0,0,0,1
40.71_-74.0,40.71,-74.0,21,5,4,0,1,0,1
40.71_-74.0,40.71,-74.0,21,6,3,0,1,0,1
40.71_-74.0,40.71,-74.0,22,0,4,0,0,0,1
40.71_-74.0,40.71,-74.0,22,1,6,0,0,0,1
40.71_-74.0,40.71,-74.0,22,2,1,0,0,0,1
40.71_-74.0,40.71,-74.0,22,3,7,0,0,0,1
40.71_-74.0,40.71,-74.0,22,4,4,0,0,0,1
40.71_-74.0,40.71,-74.0,22,5,6,0,1,0,1
40.71_-74.0,40.71,-74.0,22,6,4,0,1,0,1
40.71_-74.0,40.71,-74.0,23,0,1,0,0,0,1
40.71_-74.0,40.71,-74.0,23,2,1,0,0,0,1
40.71_-74.0,40.71,-74.0,23,3,2,0,0,0,1
40.71_-74.0,40.71,-74.0,23,4,4,0,0,0,1
40.71_-74.0,40.71,-74.0,23,5,2,0,1,0,1
40.71_-74.01,40.71,-74.01,0,0,1,0,0,0,1
40.71_-74.01,40.71,-74.01,0,2,1,0,0,0,1
40.71_-74.01,40.71,-74.01,0,3,7,0,0,0,1
40.71_-74.01,40.71,-74.01,0,4,4,0,0,0,1
40.71_-74.01,40.71,-74.01,0,5,5,0,1,0,1
40.71_-74.01,40.71,-74.01,0,6,4,0,1,0,1
40.71_-74.01,40.71,-74.01,1,0,2,0,0,0,1
40.71_-74.01,40.71,-74.01,1,2,1,0,0,0,1
40.71_-74.01,40.71,-74.01,1,3,4,0,0,0,1
40.71_-74.01,40.71,-74.01,1,4,4,0,0,0,1
40.71_-74.01,40.71,-74.01,1,5,5,0,1,0,1
40.71_-74.01,40.71,-74.01,1,6,3,0,1,0,1
40.71_-74.01,40.71,-74.01,2,1,1,0,0,0,1
40.71_-74.01,40.71,-74.01,2,2,1,0,0,0,1
40.71_-74.01,40.71,-74.01,2,3,1,0,0,0,1
40.71_-74.01,40.71,-74.01,2,4,3,0,0,0,1
40.71_-74.01,40.71,-74.01,2,5,4,0,1,0,1
40.71_-74.01,40.71,-74.01,2,6,1,0,1,0,1
40.71_-74.01,40.71,-74.01,3,0,1,0,0,0,1
40.71_-74.01,40.71,-74.01,3,2,1,0,0,0,1
40.71_-74.01,40.71,-74.01,3,4,1,0,0,0,1
40.71_-74.01,40.71,-74.01,3,5,2,0,1,0,1
40.71_-74.01,40.71,-74.01,3,6,1,0,1,0,1
40.71_-74.01,40.71,-74.01,4,0,1,0,0,0,1
40.71_-74.01,40.71,-74.01,4,4,3,0,0,0,1
40.71_-74.01,40.71,-74.01,4,6,2,0,1,0,1
40.71_-74.01,40.71,-74.01,5,0,4,0,0,0,1
40.71_-74.01,40.71,-74.01,5,1,1,0,0,0,1
40.71_-74.01,40.71,-74.01,5,2,1,0,0,0,1
40.71_-74.01,40.71,-74.01,5,4,4,0,0,0,1
40.71_-74.01,40.71,-74.01,5,5,2,0,1,0,1
40.71_-74.01,40.71,-74.01,6,0,3,0,0,0,1
40.71_-74.01,40.71,-74.01,6,1,9,0,0,0,1
40.71_-74.01,40.71,-74.01,6,2,4,0,0,0,1
40.71_-74.01,40.71,-74.01,6,3,4,0,0,0,1
40.71_-74.01,40.71,-74.01,6,4,4,0,0,0,1
40.71_-74.01,40.71,-74.01,6,5,1,0,1,0,1
40.71_-74.01,40.71,-74.01,6,6,4,0,1,0,1
40.71_-74.01,40.71,-74.01,7,0,21,1,0,1,1
40.71_-74.01,40.71,-74.01,7,1,29,1,0,1,1
40.71_-74.01,40.71,-74.01,7,2,38,1,0,1,1
40.71_-74.01,40.71,-74.01,7,3,30,1,0,1,1
40.71_-74.01,40.71,-74.01,7,4,16,1,0,1,1
40.71_-74.01,40.71,-74.01,7,5,5,0,1,1,1
40.71_-74.01,40.71,-74.01,7,6,5,0,1,1,1
40.71_-74.01,40.71,-74.01,8,0,45,1,0,1,1
40.71_-74.01,40.71,-74.01,8,1,53,1,0,1,1
40.71_-74.01,40.71,-74.01,8,2,79,1,0,1,1
40.71_-74.01,40.71,-74.01,8,3,65,1,0,1,1
40.71_-74.01,40.71,-74.01,8,4,42,1,0,1,1
40.71_-74.01,40.71,-74.01,8,5,11,0,1,1,1
40.71_-74.01,40.71,-74.01,8,6,7,0,1,1,1
40.71_-74.01,40.71,-74.01,9,0,50,1,0,1,1
40.71_-74.01,40.71,-74.01,9,1,69,1,0,1,1
40.71_-74.01,40.71,-74.01,9,2,73,1,0,1,1
40.71_-74.01,40.71,-74.01,9,3,51,1,0,1,1
40.71_-74.01,40.71,-74.01,9,4,54,1,0,1,1
40.71_-74.01,40.71,-74.01,9,5,13,0,1,1,1
